Designator,Mid X,Mid Y,Rotation,Layer
D1,52.327407,-44.0,0.0,top
D2,52.327407,-46.5,0.0,top
D3,52.327407,-49.0,180.0,top
D4,52.327407,-41.5,180.0,top
D5,57.0,-48.5,180.0,top
D6,57.885701,-42.571399,90.0,top
D7,61.176173,-37.728565,180.0,top
J1,44.0,-44.0,90.0,top
J2,78.045,-43.75,270.0,top
Q1,61.895224,-43.110706,180.0,top
R1,62.4625,-47.0,0.0,top
R2,57.020186,-46.5,0.0,top
R3,71.628574,-49.625019,90.0,top
R4,72.0,-42.0,0.0,top
R6,62.0,-49.5,180.0,top
U1,68.345186,-39.037789,180.0,top
U2,68.325,-45.232214,0.0,top
